Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FGpct,Threes,ThreesA,Threepct,Twos,TwosA,Twopct,eFGpct,FT,FTA,FTpct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlayerID
1,Precious Achiuwa,C-PF,24,TOT,35,0,15.8,2.6,5.6,45.7%,0.4,1.5,26.9%,2.2,4.1,0.524,49.2%,0.8,1.3,58.7%,1.9,3,4.9,1.3,0.5,0.5,1,1.5,6.3,achiupr01
2,Precious Achiuwa,C,24,TOR,25,0,17.5,3.1,6.8,45.9%,0.5,1.9,27.7%,2.6,4.9,0.528,49.7%,1,1.7,57.1%,2,3.4,5.4,1.8,0.6,0.5,1.2,1.6,7.7,achiupr01
3,Precious Achiuwa,PF,24,NYK,10,0,11.7,1.2,2.7,44.4%,0.1,0.5,20.0%,1.1,2.2,0.5,46.3%,0.3,0.4,75.0%,1.6,1.9,3.5,0.3,0.3,0.6,0.6,1.3,2.8,achiupr01
4,Bam Adebayo,C,26,MIA,31,31,34.9,7.9,15.7,50.5%,0,0.3,11.1%,7.9,15.4,0.513,50.6%,5.6,7.3,77.8%,2.2,8.4,10.5,4.2,1,0.9,2.5,2.5,21.5,adebaba01
5,Ochai Agbaji,SG,23,UTA,43,10,20.2,2.3,5.2,43.6%,1,3,32.8%,1.3,2.2,0.585,53.1%,0.3,0.5,75.0%,0.8,1.8,2.6,1,0.6,0.5,0.7,1.5,5.9,agbajoc01
6,Santi Aldama,PF,23,MEM,31,5,23.1,3.9,9,43.6%,1.5,4.5,34.0%,2.4,4.5,0.532,52.1%,1.1,1.7,61.1%,1.2,4.3,5.5,1.6,0.6,0.7,1.1,1.7,10.5,aldamsa01
7,Nickeil Alexander-Walker,SG,25,MIN,41,12,22.4,2.4,5.6,42.0%,1.3,3.8,35.7%,1,1.9,0.545,53.9%,0.4,0.6,69.6%,0.4,1.3,1.7,2.4,0.9,0.6,1,1.9,6.5,alexani01
8,Grayson Allen,SG,28,PHO,35,35,33.4,4.7,9.3,50.3%,2.8,5.8,48.0%,1.9,3.5,0.541,65.3%,1.8,1.9,91.2%,0.8,3.4,4.2,2.9,0.9,0.7,1.5,2.2,13.9,allengr01
9,Jarrett Allen,C,25,CLE,34,34,30.2,6.1,9.1,66.5%,0,0,0.0%,6.1,9.1,0.667,66.5%,2.7,3.5,75.8%,3.5,6.7,10.2,3,0.9,1,1.7,2.4,14.8,allenja01
10,Jose Alvarado,PG,25,NOP,25,0,16.8,2.5,6,41.1%,1.3,3.4,39.3%,1.2,2.7,0.433,52.0%,0.8,1.2,64.5%,0.5,1.8,2.2,1.9,1,0.4,0.8,1.5,7.1,alvarjo01
11,Kyle Anderson,PF,30,MIN,41,2,22.7,2.6,5.5,46.9%,0.1,0.6,15.4%,2.5,4.8,0.51,47.8%,1.4,2,69.1%,0.7,2.9,3.6,3.9,0.8,0.7,1.4,1.6,6.6,anderky01
12,Giannis Antetokounmpo,PF,29,MIL,39,39,35.1,11.6,19.1,60.8%,0.4,1.7,23.5%,11.2,17.3,0.646,61.9%,7.6,11.2,67.7%,2.7,8.7,11.4,5.9,1.3,1.1,3.6,2.9,31.2,antetgi01
13,Thanasis Antetokounmpo,PF,31,MIL,17,0,4.4,0.4,0.8,50.0%,0,0,0.0%,0.4,0.8,0.5,50.0%,0,0,0.0%,0.2,0.2,0.5,0.5,0.1,0.2,0.5,0.8,0.8,antetth01
14,Cole Anthony,PG,23,ORL,40,0,24.8,4.7,10.6,43.8%,1.2,3.8,32.7%,3.4,6.9,0.498,49.5%,3.1,3.7,83.2%,1.1,3.2,4.3,3.3,0.8,0.5,1.8,2.7,13.6,anthoco01
15,OG Anunoby,SF,26,TOT,37,37,34.2,5.7,11.5,49.6%,2.2,5.6,38.8%,3.5,5.9,0.601,59.1%,1.4,1.8,77.9%,1,3.2,4.2,2.3,1.1,0.6,1.5,2.4,15.1,anunoog01
16,OG Anunoby,SF,26,TOR,27,27,33.3,5.8,11.9,48.9%,2.3,6,37.4%,3.6,5.9,0.608,58.4%,1.2,1.7,71.7%,0.9,3,3.9,2.7,1,0.5,1.6,2.3,15.1,anunoog01
17,OG Anunoby,SF,26,NYK,10,10,36.7,5.5,10.6,51.9%,2,4.6,43.5%,3.5,6,0.583,61.3%,2,2.2,90.9%,1.4,3.6,5,1.4,1.2,1,1.3,2.6,15,anunoog01
18,Ryan Arcidiacono,PG,29,NYK,15,0,2.3,0,0.3,0.0%,0,0.3,0.0%,0,0,0,0.0%,0,0,0.0%,0,0.4,0.4,0.2,0.1,0,0,0.3,0,arcidry01
